Planet Name,Host Name,Planet Letter,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Solution Type,Planetary Parameter Reference,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Eccentricity,Equilibrium Temperature [K],Inclination [deg],Data show Transit Timing Variations,Stellar Parameter Reference,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],System Parameter Reference,RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc],V (Johnson) Magnitude,Ks (2MASS) Magnitude,Gaia Magnitude,Date of Last Update,Planetary Parameter Reference Publication Date,Release Date
Kepler-248 b,Kepler-248,b,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.30820500,3.020,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5190.00,0.83,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m14.72s,293.0613138,+43d34m52.89s,43.5813577,738.7920000,15.5060000,13.3570000,15.2331000,2014-05-14,2014-03,2014-05-14
Kepler-248 c,Kepler-248,c,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,16.23949400,4.070,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5190.00,0.83,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m14.72s,293.0613138,+43d34m52.89s,43.5813577,738.7920000,15.5060000,13.3570000,15.2331000,2014-05-14,2014-03,2014-05-14
Kepler-249 b,Kepler-249,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.30653900,1.090,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3568.00,0.48,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m56.47s,296.9853002,+43d39m30.98s,43.6586043,190.4010000,16.3700000,11.9660000,15.2305000,2014-05-14,2014-03,2014-05-14
Kepler-249 c,Kepler-249,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.11370200,1.510,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3568.00,0.48,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m56.47s,296.9853002,+43d39m30.98s,43.6586043,190.4010000,16.3700000,11.9660000,15.2305000,2014-05-14,2014-03,2014-05-14
Kepler-249 d,Kepler-249,d,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,15.36845900,1.570,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3568.00,0.48,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m56.47s,296.9853002,+43d39m30.98s,43.6586043,190.4010000,16.3700000,11.9660000,15.2305000,2014-05-14,2014-03,2014-05-14
Kepler-25 b,Kepler-25,b,1,2,3,Transit,2011,Kepler,Published Confirmed,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,6.23829700,2.748,8.70000,Mass,0.002900,,92.827,1,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,,,1.32,1.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m33.21s,286.6383905,+39d29m16.45s,39.4879038,243.2490000,10.7690000,9.4930000,10.6319000,2019-06-07,2019-04,2019-06-13
Kepler-25 c,Kepler-25,c,1,2,3,Transit,2011,Kepler,Published Confirmed,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,12.72070000,5.217,15.20000,Mass,0.006100,,92.764,1,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,,,1.32,1.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m33.21s,286.6383905,+39d29m16.45s,39.4879038,243.2490000,10.7690000,9.4930000,10.6319000,2019-06-07,2019-04,2019-06-13
Kepler-25 d,Kepler-25,d,1,2,3,Radial Velocity,2014,W. M. Keck Observatory,Published Confirmed,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,122.40000000,,71.90000,Mass,0.130000,,,0,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,,,1.32,1.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m33.21s,286.6383905,+39d29m16.45s,39.4879038,243.2490000,10.7690000,9.4930000,10.6319000,2019-06-07,2019-04,2019-06-13
Kepler-250 b,Kepler-250,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.14814100,1.130,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5160.00,0.81,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m22.74s,289.5947633,+44d08m30.52s,44.1418114,760.5850000,15.8190000,13.4830000,15.4144000,2014-05-14,2014-03,2014-05-14
Kepler-250 c,Kepler-250,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.15680400,2.280,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5160.00,0.81,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m22.74s,289.5947633,+44d08m30.52s,44.1418114,760.5850000,15.8190000,13.4830000,15.4144000,2014-05-14,2014-03,2014-05-14
Kepler-250 d,Kepler-250,d,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,17.64831200,2.180,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5160.00,0.81,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m22.74s,289.5947633,+44d08m30.52s,44.1418114,760.5850000,15.8190000,13.4830000,15.4144000,2014-05-14,2014-03,2014-05-14
Kepler-251 b,Kepler-251,b,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.79093600,1.330,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5526.00,0.89,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.5410000,13.6320000,15.2160000,2014-05-14,2014-03,2014-05-14
Kepler-251 c,Kepler-251,c,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,16.51404300,2.770,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5526.00,0.89,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.5410000,13.6320000,15.2160000,2014-05-14,2014-03,2014-05-14
Kepler-251 d,Kepler-251,d,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,30.13300100,2.770,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5526.00,0.89,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.5410000,13.6320000,15.2160000,2014-05-14,2014-03,2014-05-14
Kepler-251 e,Kepler-251,e,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,99.64016100,2.770,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5526.00,0.89,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.5410000,13.6320000,15.2160000,2014-05-14,2014-03,2014-05-14
Kepler-252 b,Kepler-252,b,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.66839100,1.230,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4208.00,0.55,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m19.04s,295.5793290,+44d32m45.26s,44.5459052,379.4240000,15.4060000,12.4660000,15.0293000,2014-05-14,2014-03,2014-05-14
Kepler-252 c,Kepler-252,c,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.84846300,2.150,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4208.00,0.55,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m19.04s,295.5793290,+44d32m45.26s,44.5459052,379.4240000,15.4060000,12.4660000,15.0293000,2014-05-14,2014-03,2014-05-14
Kepler-253 b,Kepler-253,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.78398600,1.630,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5208.00,0.79,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m22.06s,291.8419337,+44d51m29.25s,44.8581240,838.5950000,15.7780000,13.5340000,15.5122000,2014-05-14,2014-03,2014-05-14
Kepler-253 c,Kepler-253,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.28195100,2.650,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5208.00,0.79,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m22.06s,291.8419337,+44d51m29.25s,44.8581240,838.5950000,15.7780000,13.5340000,15.5122000,2014-05-14,2014-03,2014-05-14
Kepler-253 d,Kepler-253,d,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,18.11986900,3.170,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5208.00,0.79,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m22.06s,291.8419337,+44d51m29.25s,44.8581240,838.5950000,15.7780000,13.5340000,15.5122000,2014-05-14,2014-03,2014-05-14
Kepler-254 b,Kepler-254,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.82666200,3.870,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5957.00,0.91,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m39.52s,288.1646541,+45d48m59.13s,45.8164257,1389.4800000,16.0120000,14.2540000,15.8379000,2014-05-14,2014-03,2014-05-14
Kepler-254 c,Kepler-254,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,12.41218300,2.150,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5957.00,0.91,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m39.52s,288.1646541,+45d48m59.13s,45.8164257,1389.4800000,16.0120000,14.2540000,15.8379000,2014-05-14,2014-03,2014-05-14
Kepler-254 d,Kepler-254,d,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,18.74647700,2.500,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5957.00,0.91,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m39.52s,288.1646541,+45d48m59.13s,45.8164257,1389.4800000,16.0120000,14.2540000,15.8379000,2014-05-14,2014-03,2014-05-14
Kepler-255 b,Kepler-255,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.71460600,1.550,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5573.00,0.93,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m15.42s,296.0642702,+45d58m36.35s,45.9767647,1052.5300000,15.6990000,13.6890000,15.5283000,2014-05-14,2014-03,2014-05-14
Kepler-255 c,Kepler-255,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,9.94604700,2.990,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5573.00,0.93,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m15.42s,296.0642702,+45d58m36.35s,45.9767647,1052.5300000,15.6990000,13.6890000,15.5283000,2014-05-14,2014-03,2014-05-14
Kepler-255 d,Kepler-255,d,1,1,3,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.04562266,1.320,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5431.00,0.86,0.90,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m15.42s,296.0642702,+45d58m36.35s,45.9767647,1052.5300000,15.6990000,13.6890000,15.5283000,2016-05-06,2016-05,2016-05-10
Kepler-256 b,Kepler-256,b,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,1.62049300,1.590,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5551.00,1.30,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m19.30s,292.5804200,+46d05m50.49s,46.0973588,1026.4300000,15.1780000,13.4240000,15.0151000,2014-05-14,2014-03,2014-05-14
Kepler-256 c,Kepler-256,c,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.38802000,2.150,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5551.00,1.30,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m19.30s,292.5804200,+46d05m50.49s,46.0973588,1026.4300000,15.1780000,13.4240000,15.0151000,2014-05-14,2014-03,2014-05-14
Kepler-256 d,Kepler-256,d,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.83917200,2.480,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5551.00,1.30,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m19.30s,292.5804200,+46d05m50.49s,46.0973588,1026.4300000,15.1780000,13.4240000,15.0151000,2014-05-14,2014-03,2014-05-14
Kepler-256 e,Kepler-256,e,1,1,4,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.68157200,2.350,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5551.00,1.30,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m19.30s,292.5804200,+46d05m50.49s,46.0973588,1026.4300000,15.1780000,13.4240000,15.0151000,2014-05-14,2014-03,2014-05-14
Kepler-257 b,Kepler-257,b,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.38266700,2.610,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5180.00,1.04,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m15.84s,297.3159994,+46d01m23.75s,46.0232642,780.2560000,15.6520000,13.3720000,15.4215000,2014-05-14,2014-03,2014-05-14
Kepler-257 c,Kepler-257,c,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.58148400,5.410,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5180.00,1.04,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m15.84s,297.3159994,+46d01m23.75s,46.0232642,780.2560000,15.6520000,13.3720000,15.4215000,2014-05-14,2014-03,2014-05-14
Kepler-257 d,Kepler-257,d,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,24.66455100,4.950,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5180.00,1.04,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m15.84s,297.3159994,+46d01m23.75s,46.0232642,780.2560000,15.6520000,13.3720000,15.4215000,2014-05-14,2014-03,2014-05-14
Kepler-258 b,Kepler-258,b,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,13.19722000,4.060,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4942.00,0.92,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m16.42s,294.0684116,+46d34m44.89s,46.5791357,575.9880000,15.4900000,12.9560000,15.2012000,2014-05-14,2014-03,2014-05-14
Kepler-258 c,Kepler-258,c,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,33.65307900,3.610,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4942.00,0.92,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m16.42s,294.0684116,+46d34m44.89s,46.5791357,575.9880000,15.4900000,12.9560000,15.2012000,2014-05-14,2014-03,2014-05-14
Kepler-259 b,Kepler-259,b,1,1,2,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,8.11531700,2.800,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5938.00,0.90,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m50.87s,288.2119707,+46d36m54.17s,46.6150461,1002.1400000,15.3780000,13.5550000,15.1689000,2014-05-14,2014-03,2014-05-14
